Symbol,MarketCap,Fundamental Strength Index,Price,Last 5min Average,Last 20min Average,Previous Day Close,% Change,Health Rating,Micro Trend Rating,Macro Trend Rating,Support,Resistance,Buy Signal Range,Volume Surge,EPS,UpdateTime
FFIV,Large,Good,329.15,328.435,328.184,303.79,8.35,-,Uptrend,Uptrend,279.8,339.45,284.17-325.71,True,12.09,2026-04-29 16:01:00
IEX,Large,Good,217.34,217.043,216.65,205.36,5.83,-,Uptrend,Uptrend,192.47,228.89,195.73-217.96,True,6.41,2026-04-29 16:00:00
GNRC,Large,Moderate,253.95,252.804,251.183,217.12,16.96,Very Weak,Uptrend,Uptrend,202.08,261.65,208.7-249.71,True,2.69,2026-04-29 18:30:00
NXPI,Large,Good,290,289.462,288.851,230.39,25.87,Moderate,Uptrend,Uptrend,203.66,299.45,256.94-287.39,True,10.46,2026-04-29 18:32:00
MA,Large,Good,531,530.137,529.147,507.62,4.61,-,Uptrend,Uptrend,490.41,546.26,490.21-528.32,True,16.5,2026-04-29 18:26:00
INTC,Large,,96.17,96.372,95.983,84.52,13.78,Moderate,Mixed trend,Uptrend,50.65,97.09,78.34-94.33,True,-0.6,2026-04-29 18:28:00
STX,Large,Good,652.95,652.293,649.354,579.03,12.77,Moderate,Mixed trend,Uptrend,424.92,712.72,596.08-654.7,True,10.54,2026-04-29 18:25:00
GD,Large,Good,337.06,337.735,338.121,313.68,7.45,-,Mixed trend,Uptrend,307.28,373.28,294.11-342.76,True,15.46,2026-04-29 18:21:00
BG,Large,Moderate,126.05,126.369,126.868,126.36,-0.25,-,Mixed trend,Uptrend,118.35,134.91,112-126.98,True,4.93,2026-04-29 18:16:00
BIIB,Large,Moderate,192.99,193.889,194.255,183.38,5.24,-,Mixed trend,Uptrend,178,203.2,166.87-192.5,True,8.78,2026-04-29 18:21:00
OKE,Large,Good,89.26,89.28,89.126,89.79,-0.59,-,Mixed trend,Uptrend,83.82,97.45,84.62-89.02,True,5.61,2026-04-29 17:31:00
AMZN,Large,Good,274.4,274.958,274.373,259.7,5.66,Moderate,Mixed trend,Uptrend,214.24,271.91,200.39-271.89,True,7.17,2026-04-29 18:32:00
BEN,Large,Moderate,29.11,29.365,29.505,29.46,-1.19,Very Weak,Mixed trend,Uptrend,24.49,30.96,25.9-29.49,True,1.31,2026-04-29 16:45:00
ESS,Large,Good,264.92,264.899,264.666,267.88,-1.1,-,Mixed trend,Uptrend,241.89,276.45,248.67-265.47,True,10.39,2026-04-29 16:00:00
HUM,Large,Moderate,240.16,240.613,241.322,229.72,4.54,Very Weak,Mixed trend,Uptrend,178.91,250.06,188.02-237.59,True,9.83,2026-04-29 18:20:00
LII,Large,Good,517.62,517.392,518.334,495.52,4.46,-,Mixed trend,Uptrend,479.96,584.85,450.55-518.29,True,22.79,2026-04-29 16:00:00
MAA,Large,Moderate,129.71,129.705,129.82,130.38,-0.51,-,Mixed trend,Uptrend,122.55,137.63,121.04-130.04,True,3.78,2026-04-29 16:00:00
MDLZ,Large,Moderate,60.21,60.378,60.756,58.54,2.85,Very Weak,Mixed trend,Uptrend,55.73,63.39,50.85-61.23,True,1.89,2026-04-29 18:31:00
TYL,Large,Moderate,358.53,359.814,358.192,340.46,5.31,-,Mixed trend,Uptrend,327.79,386.29,274.99-352.76,True,7.18,2026-04-29 17:51:00
V,Large,Good,333.16,333.287,333.693,309.3,7.71,Moderate,Mixed trend,Uptrend,300.28,349.69,319.22-336.08,True,11.48,2026-04-29 18:31:00
